id,title,description,ingredients,instructions,author,image_url,category,prep_time,cook_time,servings,date
11,Breakfast Burrito,"Hearty breakfast burrito with eggs, potatoes, and sausage.","4 eggs
2 potatoes
200g sausage
Tortillas
Cheese
Bell peppers
Onion","1. Cook potatoes
2. Fry sausage
3. Scramble eggs
4. Assemble burrito",admin,https://images.unsplash.com/photo-1551788038-d6bb94b5b9f9?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80,Breakfast,15,20,4,2025-03-30 14:43:01
12,Vegetable Curry,Spicy vegetable curry with coconut milk.,"Mixed vegetables
Coconut milk
Curry powder
Ginger
Garlic
Onion
Rice","1. Sauté aromatics
2. Add vegetables
3. Add coconut milk
4. Simmer until tender",admin,https://images.unsplash.com/photo-1585937421612-70a008356fbe?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80,Vegetarian,20,30,4,2025-03-30 14:43:01
13,Smoothie Bowl,Healthy smoothie bowl with fresh fruits and granola.,"Banana
Mixed berries
Spinach
Almond milk
Granola
Chia seeds
Honey","1. Blend fruits
2. Pour in bowl
3. Top with granola
4. Add toppings",admin,https://images.unsplash.com/photo-1490474418585-ba9bad8fd0ea?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80,Breakfast,10,0,2,2025-03-30 14:43:01
14,Homemade Pizza,Classic homemade pizza with fresh toppings.,"Pizza dough
Tomato sauce
Mozzarella
Fresh basil
Olive oil
Toppings of choice","1. Roll out dough
2. Add sauce
3. Add toppings
4. Bake at high heat",admin,https://images.unsplash.com/photo-1513104890138-7c749659a591?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80,Main Course,30,15,4,2025-03-30 14:43:01
15,Mango Sorbet,Refreshing mango sorbet with lime.,"3 ripe mangoes
Sugar
Lime juice
Water","1. Blend mangoes
2. Add sugar
3. Freeze
4. Stir occasionally",admin,https://images.unsplash.com/photo-1501446529957-6226bd3c01d3?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80,Desserts,15,0,4,2025-03-30 14:43:01
16,Quinoa Buddha Bowl,Healthy quinoa bowl with roasted vegetables.,"Quinoa
Mixed vegetables
Chickpeas
Tahini dressing
Avocado
Kale","1. Cook quinoa
2. Roast vegetables
3. Make dressing
4. Assemble bowl",admin,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80,Vegetarian,20,25,2,2025-03-30 14:43:01
17,Lemonade,Fresh homemade lemonade with mint.,"Lemons
Sugar
Water
Fresh mint
Ice","1. Juice lemons
2. Make simple syrup
3. Mix ingredients
4. Add mint",admin,https://images.unsplash.com/photo-1622493576007-d4a9f24c0b60?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80,Beverages,10,0,4,2025-03-30 14:43:01
18,Trail Mix,Healthy homemade trail mix with nuts and dried fruits.,"Mixed nuts
Dried fruits
Dark chocolate
Seeds
Coconut flakes","1. Mix ingredients
2. Store in airtight container",admin,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80,Snacks,10,0,8,2025-03-30 14:43:01
19,Sourdough Bread,Classic sourdough bread with crispy crust.,"Sourdough starter
Flour
Water
Salt","1. Feed starter
2. Mix dough
3. Ferment
4. Bake",admin,https://images.unsplash.com/photo-1509440159596-0249088772ff?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80,Baking,30,45,12,2025-03-30 14:43:01
20,15-Minute Pasta,Quick and easy pasta dish with fresh ingredients.,"Pasta
Cherry tomatoes
Garlic
Basil
Olive oil
Parmesan","1. Cook pasta
2. Sauté garlic
3. Add tomatoes
4. Toss with basil",admin,https://images.unsplash.com/photo-1612874742237-6526221588e3?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80,Quick Meals,5,10,4,2025-03-30 14:43:01
